task,head,context_length,k,split,context_length_min,total_compute_min,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc
age_class,lstm,10m,1,test,10.0,10.0,1862,1862,0.6396348012889366,0.605088612706266,0.5591258631512869,0.8159034582661241,0.6396348012889366,0.605088612706266,0.5591258631512869,0.8159034582661241,0.6396348012889366,0.605088612706266,0.5591258631512869,0.8159034582661241
age_class,lstm,10m,10,test,10.0,100.0,1862,18603,0.6537117669193141,0.6145674456844171,0.5767145672801556,0.8250495382066815,0.7040816326530612,0.6698581423125055,0.6330849810742925,0.8672501819834076,0.6879699248120301,0.6690178399490428,0.6221066560074442,0.8672501819834076
age_class,lstm,10m,100,test,10.0,1000.0,1862,103524,0.67472276959932,0.6231143944240524,0.5834126443779031,0.8380609803329345,0.709452201933405,0.6773688804618625,0.6410637630374262,0.8720758101591345,0.709452201933405,0.6787890895245369,0.6411708415026215,0.8720758101591345
age_class,lstm,10m,12,test,10.0,120.0,1862,22323,0.6566321730950141,0.6163811084277299,0.5791798988285944,0.826822748188146,0.7116004296455424,0.6797690193761258,0.6410838009989512,0.8694435644247839,0.7013963480128894,0.6830277027520056,0.6366095222309065,0.8694435644247839
age_class,lstm,10m,16,test,10.0,160.0,1862,29760,0.6563844086021505,0.6161817192869202,0.579463093206931,0.8274796287095484,0.7110633727175081,0.6800517718975129,0.640943846082186,0.8706768551303439,0.6981740064446831,0.6735121854472496,0.6297720911281179,0.8706768551303439
age_class,lstm,10m,2,test,10.0,20.0,1862,3723,0.6312113886650551,0.5970883469860001,0.5571717743423906,0.8111015991600868,0.6611170784103115,0.6363380126372479,0.592946949695562,0.8375712234254444,0.5784103114930182,0.6273007674848453,0.5345430088076611,0.8375712234254444
age_class,lstm,10m,20,test,10.0,200.0,1862,37196,0.6572749758038499,0.6164094617390615,0.5792691527525569,0.8271375690979822,0.7078410311493019,0.6749772453828289,0.6373483581223213,0.8703972218802636,0.6987110633727175,0.6678425276251202,0.627818674444805,0.8703972218802636
age_class,lstm,10m,25,test,10.0,250.0,1862,46491,0.6585360607429395,0.6177199751296067,0.5805467093614437,0.8279425082730709,0.7132116004296455,0.6845267780285038,0.6471064345997327,0.8717367277619396,0.7073039742212675,0.6836316122119462,0.6408754492263583,0.8717367277619396
age_class,lstm,10m,3,test,10.0,30.0,1862,5583,0.646247537166398,0.6110382079615203,0.5710472698714929,0.8202119953743076,0.6868958109559613,0.6596084834260251,0.617465811458021,0.8553069201341991,0.6595059076262084,0.6379491465166919,0.5837846098304068,0.8553069201341991
age_class,lstm,10m,30,test,10.0,300.0,1862,55778,0.6593280504858546,0.6197776385049691,0.5821231603761792,0.8282631181083971,0.7105263157894737,0.6794607553490494,0.6424867533805252,0.8731717041605318,0.7089151450053706,0.6838762346334325,0.6420336059497415,0.8731717041605318
