dataset,subject_id,num_channels,channels,sampling_freq,edf_path
STAGES,GSSA00001,40,"EEG_F3-A2,EEG_F4-A1,EEG_A1-A2,EEG_C3-A2,EEG_C4-A1,EEG_O1-A2,EEG_O2-A1,EOG_LOC-A2,EOG_ROC-A2,EMG_Chin,Leg_1,Leg_2,ECG_I,RR,ECG_II,Snore,Snore2,Flow_Patient,Flow_Patient2,Effort_THO,Effort_ABD,SpO2,Pleth,Body,Flow_Patient3,xPAP_CPAP,xPAP_IPAP,xPAP_EPAP,Leak_Total,PulseRate,EMG_Aux1,EMG_Aux2,EEG_T3-A2,EEG_T4-A1,EEG_P3-A2,EEG_P4-A1,CO2_EndTidal,PressCheck,ECG_IIHF,Technical",1000.0,/scratch/boshra95/nsrr_downloads/stages/original/STAGES PSGs/GSSA/GSSA00001.edf
STAGES,GSSA00013_1,42,"EEG_F3-A2,EEG_F4-A1,EEG_A1-A2,EEG_C3-A2,EEG_C4-A1,EEG_O1-A2,EEG_O2-A1,EOG_LOC-A2,EOG_ROC-A2,EMG_Chin,Leg_1,Leg_2,ECG_I,RR,ECG_II,Snore,Snore2,Flow_Patient,Flow_Patient2,Effort_THO,Effort_ABD,SpO2,Pleth,Body,PulseRate,Flow_Patient3,xPAP_CPAP,xPAP_IPAP,xPAP_EPAP,Leak_Total,xPAP_MaxPress,xPAP_EPAPMin,xPAP_EPAPMax,xPAP_PSMin,xPAP_PSMax,xPAP_IPAPMin,xPAP_IPAPMax,BreathRate,Press_Patient,PressCheck,ECG_IIHF,Technical",1000.0,/scratch/boshra95/nsrr_downloads/stages/original/STAGES PSGs/GSSA/GSSA00013_1.edf
STAGES,GSSA00017,33,"EEG_F3-A2,EEG_F4-A1,EEG_A1-A2,EEG_C3-A2,EEG_C4-A1,EEG_O1-A2,EEG_O2-A1,EOG_LOC-A2,EOG_ROC-A2,EMG_Chin,Leg_1,Leg_2,ECG_I,RR,ECG_II,Snore,Snore2,Flow_Patient,Flow_Patient2,Effort_THO,Effort_ABD,SpO2,Pleth,Body,Flow_Patient3,xPAP_CPAP,xPAP_IPAP,xPAP_EPAP,Leak_Total,PulseRate,PressCheck,ECG_IIHF,Technical",1000.0,/scratch/boshra95/nsrr_downloads/stages/original/STAGES PSGs/GSSA/GSSA00017.edf
STAGES,GSSA00008_1,49,"EEG_F3-A2,EEG_F4-A1,EEG_A1-A2,EEG_C3-A2,EEG_C4-A1,EEG_O1-A2,EEG_O2-A1,EOG_LOC-A2,EOG_ROC-A2,EMG_Chin,Leg_1,Leg_2,ECG_I,RR,ECG_II,Snore,Snore2,Flow_Patient,Flow_Patient2,Effort_THO,Effort_ABD,SpO2,Pleth,Body,PulseRate,Flow_Patient3,xPAP_CPAP,xPAP_IPAP,xPAP_EPAP,Leak_Total,xPAP_MaxPress,xPAP_EPAPMin,xPAP_EPAPMax,xPAP_PSMin,xPAP_PSMax,xPAP_IPAPMin,xPAP_IPAPMax,BreathRate,Press_Patient,EMG_Aux1,EMG_Aux2,EEG_T3-A2,EEG_T4-A1,EEG_P3-A2,EEG_P4-A1,CO2_EndTidal,PressCheck,ECG_IIHF,Technical",1000.0,/scratch/boshra95/nsrr_downloads/stages/original/STAGES PSGs/GSSA/GSSA00008_1.edf
STAGES,GSSA00023_1,42,"EEG_F3-A2,EEG_F4-A1,EEG_A1-A2,EEG_C3-A2,EEG_C4-A1,EEG_O1-A2,EEG_O2-A1,EOG_LOC-A2,EOG_ROC-A2,EMG_Chin,Leg_1,Leg_2,ECG_I,RR,ECG_II,Snore,Snore2,Flow_Patient,Flow_Patient2,Effort_THO,Effort_ABD,SpO2,Pleth,Body,PulseRate,Flow_Patient3,xPAP_CPAP,xPAP_IPAP,xPAP_EPAP,Leak_Total,xPAP_MaxPress,xPAP_EPAPMin,xPAP_EPAPMax,xPAP_PSMin,xPAP_PSMax,xPAP_IPAPMin,xPAP_IPAPMax,BreathRate,Press_Patient,PressCheck,ECG_IIHF,Technical",1000.0,/scratch/boshra95/nsrr_downloads/stages/original/STAGES PSGs/GSSA/GSSA00023_1.edf
STAGES,GSSA00022_2,14,"EEG_F3-A2,EEG_F4-A1,EEG_A1-A2,EEG_C3-A2,EEG_C4-A1,EEG_O1-A2,EEG_O2-A1,EOG_LOC-A2,EOG_ROC-A2,EMG_Chin,ECG_II,RR,ECG_IIHF,Technical",1000.0,/scratch/boshra95/nsrr_downloads/stages/original/STAGES PSGs/GSSA/GSSA00022_2.edf
STAGES,GSSA00011,33,"EEG_F3-A2,EEG_F4-A1,EEG_A1-A2,EEG_C3-A2,EEG_C4-A1,EEG_O1-A2,EEG_O2-A1,EOG_LOC-A2,EOG_ROC-A2,EMG_Chin,Leg_1,Leg_2,ECG_I,RR,ECG_II,Snore,Snore2,Flow_Patient,Flow_Patient2,Effort_THO,Effort_ABD,SpO2,Pleth,Body,Flow_Patient3,xPAP_CPAP,xPAP_IPAP,xPAP_EPAP,Leak_Total,PulseRate,PressCheck,ECG_IIHF,Technical",1000.0,/scratch/boshra95/nsrr_downloads/stages/original/STAGES PSGs/GSSA/GSSA00011.edf
STAGES,GSSA00020,33,"EEG_F3-A2,EEG_F4-A1,EEG_A1-A2,EEG_C3-A2,EEG_C4-A1,EEG_O1-A2,EEG_O2-A1,EOG_LOC-A2,EOG_ROC-A2,EMG_Chin,Leg_1,Leg_2,ECG_I,RR,ECG_II,Snore,Snore2,Flow_Patient,Flow_Patient2,Effort_THO,Effort_ABD,SpO2,Pleth,Body,Flow_Patient3,xPAP_CPAP,xPAP_IPAP,xPAP_EPAP,Leak_Total,PulseRate,PressCheck,ECG_IIHF,Technical",1000.0,/scratch/boshra95/nsrr_downloads/stages/original/STAGES PSGs/GSSA/GSSA00020.edf
STAGES,GSSA00023,37,"EEG_F3-A2,EEG_F4-A1,EEG_A1-A2,EEG_C3-A2,EEG_C4-A1,EEG_O1-A2,EEG_O2-A1,EOG_LOC-A2,EOG_ROC-A2,EMG_Chin,Leg_1,Leg_2,ECG_I,RR,ECG_II,Snore,Snore2,Flow_Patient,Flow_Patient2,Effort_THO,Effort_ABD,SpO2,Pleth,Body,Flow_Patient3,xPAP_CPAP,xPAP_IPAP,xPAP_EPAP,Leak_Total,PulseRate,EEG_T4-A1,EEG_P4-A1,EEG_P3-A2,EEG_T3-A2,PressCheck,ECG_IIHF,Technical",1000.0,/scratch/boshra95/nsrr_downloads/stages/original/STAGES PSGs/GSSA/GSSA00023.edf
STAGES,GSSA00015,41,"EEG_F3-A2,EEG_F4-A1,EEG_A1-A2,EEG_C3-A2,EEG_C4-A1,EEG_O1-A2,EEG_O2-A1,EOG_LOC-A2,EOG_ROC-A2,EMG_Chin,Leg_1,Leg_2,ECG_I,RR,ECG_II,Snore,Snore2,Flow_Patient,Flow_Patient2,Effort_THO,Effort_ABD,SpO2,Pleth,Body,Flow_Patient3,xPAP_CPAP,xPAP_IPAP,xPAP_EPAP,Leak_Total,PulseRate,CO2_EndTidal,TidVol_Instant,EEG_T4-A1,EEG_P4-A1,EEG_T3-A2,EEG_P3-A2,EMG_Aux1,EMG_Aux2,PressCheck,ECG_IIHF,Technical",1000.0,/scratch/boshra95/nsrr_downloads/stages/original/STAGES PSGs/GSSA/GSSA00015.edf
